Question,Answer,Question Type,Expert time (mins),Rubric
トヨタ自動車(7203)の直近のROEと自己資本比率は？,"トヨタ自動車のROEは約15%前後、自己資本比率は約40%前後（US GAAP基準、連結）。",Metrics,5,"[{'operator': 'correctness', 'criteria': 'ROEの数値が含まれている'}, {'operator': 'correctness', 'criteria': '自己資本比率の数値が含まれている'}, {'operator': 'correctness', 'criteria': 'トヨタ自動車の財務データを取得している'}]"
ソニーグループ(6758)の直近3年の売上高推移を教えて,"ソニーグループの連結売上高は2023年3月期約11.5兆円、2024年3月期約13兆円、2025年3月期約13.2兆円と増加傾向。",Trends,10,"[{'operator': 'correctness', 'criteria': '3年分の売上高データが含まれている'}, {'operator': 'correctness', 'criteria': '売上高が増加傾向であることに言及'}, {'operator': 'correctness', 'criteria': 'ソニーグループの財務データを取得している'}]"
任天堂(7974)の有価証券報告書に記載されている主な事業リスクは？,"任天堂の主な事業リスクには、ゲーム専用機の製品サイクル、ソフトウェアのヒット依存、為替変動リスク、知的財産の保護、技術革新への対応などが含まれる。",Qualitative Retrieval,15,"[{'operator': 'correctness', 'criteria': '有報テキストからリスク要因を取得している'}, {'operator': 'correctness', 'criteria': '製品サイクルまたはヒット依存に関するリスクに言及'}, {'operator': 'correctness', 'criteria': '為替リスクまたは知的財産に関するリスクに言及'}]"
ROE15%以上かつ自己資本比率50%以上の日本企業をスクリーニングして,"ROE15%以上かつ自己資本比率50%以上の条件でスクリーニングした結果、複数の企業がヒットする。",Screening,10,"[{'operator': 'correctness', 'criteria': 'スクリーニング結果に企業名が含まれている'}, {'operator': 'correctness', 'criteria': '各企業のROEが15%以上'}, {'operator': 'correctness', 'criteria': '各企業の自己資本比率が50%以上'}]"
キーエンス(6861)とファナック(6954)の営業利益率を比較して,"キーエンスの営業利益率は約50%超と非常に高く、ファナックは約20-25%前後。キーエンスがファナックを大きく上回る。",Comparison,10,"[{'operator': 'correctness', 'criteria': 'キーエンスの営業利益率が含まれている'}, {'operator': 'correctness', 'criteria': 'ファナックの営業利益率が含まれている'}, {'operator': 'correctness', 'criteria': '比較の結論が含まれている'}]"
信越化学工業(4063)の財務健全性スコアと業界内での位置づけは？,"信越化学工業の財務健全性スコアは高水準（70点以上）。化学業界の中でも収益性・安定性ともにトップクラス。",Analysis,10,"[{'operator': 'correctness', 'criteria': '財務健全性スコアの数値が含まれている'}, {'operator': 'correctness', 'criteria': '業界比較または位置づけに言及'}]"
配当利回り4%以上の日本企業を探して,"配当利回り4%以上の条件でスクリーニングした結果、銀行・保険・商社など高配当セクターの企業が複数ヒットする。",Screening,10,"[{'operator': 'correctness', 'criteria': 'スクリーニング結果に企業名が含まれている'}, {'operator': 'correctness', 'criteria': '各企業の配当利回りが4%以上'}]"
日立製作所(6501)の直近5年の営業キャッシュフローと設備投資の推移は？,"日立製作所の営業CFは増加傾向にあり、設備投資（capex）も成長投資に伴い増加している。",Trends,15,"[{'operator': 'correctness', 'criteria': '5年分の営業CFデータが含まれている'}, {'operator': 'correctness', 'criteria': '設備投資（capex）のデータが含まれている'}, {'operator': 'correctness', 'criteria': '推移の傾向に言及'}]"
トヨタ自動車(7203)の大株主は誰？,"トヨタ自動車の大量保有報告書に基づく大株主には、豊田自動織機、日本マスタートラスト信託銀行、日本カストディ銀行等の機関投資家が含まれる。",Qualitative Retrieval,10,"[{'operator': 'correctness', 'criteria': '大量保有報告書のデータを取得している'}, {'operator': 'correctness', 'criteria': '株主名が含まれている'}]"
ソフトバンクグループ(9984)の最新の決算短信の業績は？,"ソフトバンクグループの直近の決算短信（TDNet）に基づく売上高、営業利益、純利益、EPSおよびYoY変化率。",Earnings,10,"[{'operator': 'correctness', 'criteria': '決算短信のデータを取得している'}, {'operator': 'correctness', 'criteria': '売上高または純利益の数値が含まれている'}, {'operator': 'correctness', 'criteria': '前年同期比の情報が含まれている'}]"
三菱UFJフィナンシャル・グループ(8306)の経営方針と今後の課題は？,"三菱UFJの有報に記載された経営方針には、デジタル化推進、海外事業の拡大、資本効率の向上などが含まれる。",Qualitative Retrieval,15,"[{'operator': 'correctness', 'criteria': '有報テキスト（経営方針セクション）を取得している'}, {'operator': 'correctness', 'criteria': '経営方針の具体的内容に言及'}]"
過去3年の売上高CAGRが10%以上の情報・通信業の企業は？,"売上高3年CAGRが10%以上の情報・通信業でスクリーニングした結果、成長企業が複数ヒットする。",Screening,10,"[{'operator': 'correctness', 'criteria': 'スクリーニング結果に企業名が含まれている'}, {'operator': 'correctness', 'criteria': '情報・通信業に絞られている'}, {'operator': 'correctness', 'criteria': '売上高成長率のデータが含まれている'}]"
